pair_name,family,gamma,top_k,top_p,trials,baseline_large_tps,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
qwen25_0p5b_to_3b,qwen2.5,4,50,0.0,6,8.793708166666667,21.56188416666667,2.4568458333333334,0.8882613333333333,0.8420866666666668,0.15791333333333332,3.553046333333333,4.5530463333333335,86.74199449999999,121.23111683333333,1254.2301333333332,1758.2712499999998,14.5,65.33333333333333
qwen25_0p5b_to_3b,qwen2.5,4,50,0.9,6,8.886857833333336,19.8368735,2.2332218333333334,0.8078093333333332,0.6885736666666668,0.3114263333333333,3.231238333333333,4.231238333333333,87.18075833333332,123.24677116666665,1350.1971666666668,1908.8183833333335,15.5,65.16666666666667
qwen25_0p5b_to_3b,qwen2.5,4,20,0.0,6,9.060831666666667,19.443366833333332,2.1472865,0.8279475,0.7177479999999999,0.282252,3.3117900000000002,4.31179,93.95901966666666,124.09897466666668,1476.5464166666668,1959.1125000000002,15.833333333333334,67.66666666666667
qwen25_0p5b_to_3b,qwen2.5,4,20,0.9,6,8.806209333333333,18.7982725,2.1435256666666667,0.7936868333333335,0.6650798333333333,0.33492016666666663,3.174747499999999,4.1747475,91.701593,127.95926233333334,1448.9391166666667,2024.9137333333335,15.833333333333334,65.5
qwen25_0p5b_to_3b,qwen2.5,2,50,0.0,6,8.813562833333334,16.753511500000002,1.899104333333333,0.9418643333333333,0.9127138333333332,0.08728616666666668,1.8837285000000001,2.8837285,47.823168333333335,122.37065516666667,1084.7913666666668,2774.9461000000006,22.666666666666668,65.33333333333333
qwen25_0p5b_to_3b,qwen2.5,2,20,0.0,6,8.809264833333334,15.743093333333334,1.7831874999999997,0.9077459999999999,0.8432696666666667,0.15673033333333333,1.8154916666666665,2.8154916666666665,53.37136583333333,124.81231066666668,1242.41045,2895.031883333333,23.166666666666668,65.16666666666667
qwen25_0p5b_to_3b,qwen2.5,2,50,0.9,6,8.769155499999998,15.380127833333335,1.752434,0.8837773333333333,0.8351638333333334,0.16483616666666664,1.7675541666666668,2.7675541666666668,51.131514833333334,127.1505965,1209.2546333333332,3009.8006666666665,23.666666666666668,65.33333333333333
qwen25_0p5b_to_3b,qwen2.5,2,20,0.9,6,8.553717166666665,14.950503000000003,1.7468128333333333,0.8257849999999999,0.76512,0.23487999999999998,1.6515700000000002,2.65157,48.9559815,126.33842300000002,1200.4279999999999,3096.2031666666667,24.5,64.83333333333333
distilgpt2_to_gpt2_medium,gpt2,4,50,0.0,6,90.84898983333335,119.34187316666667,1.3124253333333333,0.7449641666666666,0.6462863333333334,0.3537136666666667,2.9798573333333334,3.9798573333333334,16.104474333333332,14.313938166666667,274.218,244.50614999999996,17.0,66.0
distilgpt2_to_gpt2_medium,gpt2,2,50,0.0,6,96.43263416666667,114.84529783333333,1.1916058333333333,0.8683860000000001,0.8441705,0.1558295,1.736772,2.736772,8.4652085,13.309289333333334,202.93193333333338,319.4782666666667,24.0,65.5
distilgpt2_to_gpt2_medium,gpt2,2,20,0.0,6,94.73504000000001,109.87299999999999,1.1598341666666665,0.7935631666666666,0.742826,0.257174,1.5871261666666667,2.5871261666666667,8.354058499999999,13.200740666666668,212.32025,336.46583333333336,25.5,65.16666666666667
distilgpt2_to_gpt2_medium,gpt2,4,20,0.0,6,95.25521166666665,110.30915483333335,1.1594645,0.6665076666666666,0.48188533333333333,0.5181146666666666,2.6660310000000003,3.6660310000000003,15.810171666666667,14.401182,294.00986666666665,268.5732,18.666666666666668,66.0
distilgpt2_to_gpt2_medium,gpt2,2,50,0.9,6,88.89183533333335,98.02062366666667,1.1031703333333334,0.8276465000000001,0.7812550000000001,0.218745,1.6552928333333334,2.655292833333333,9.983798833333333,15.083505500000001,243.70591666666664,369.0137,24.5,64.5
distilgpt2_to_gpt2_medium,gpt2,4,50,0.9,6,94.16739749999999,102.55332083333333,1.0888566666666668,0.7157738333333334,0.6289915,0.3710085,2.863095166666667,3.863095166666666,18.029503833333333,16.346620499999997,324.23178333333334,295.19911666666667,18.333333333333332,65.83333333333333
distilgpt2_to_gpt2_medium,gpt2,4,20,0.9,6,90.05868066666669,96.68190916666667,1.0699875,0.678584,0.5368673333333334,0.46313266666666664,2.714335166666667,3.714335166666667,18.712658166666667,16.881677999999997,343.32258333333334,309.0473166666667,18.333333333333332,66.33333333333333
distilgpt2_to_gpt2_medium,gpt2,2,20,0.9,6,93.24433233333333,98.3024055,1.0554938333333332,0.7853036666666666,0.7225306666666667,0.2774693333333333,1.5706068333333336,2.570606833333333,9.6706965,14.507102666666666,246.35950000000003,371.04213333333337,25.666666666666668,65.0
