pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,20,0.0,1.0,64,96.386268,,126.113518,1.308418,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,7.807657,12.293104,179.5761,282.7414
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,20,0.9,1.0,64,92.453478,,123.36007,1.334293,22,65,43,1,21,44,0.977273,0.954545,0.045455,1.954545,2.954545,8.791386,13.182023,193.4105,290.0045
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,50,0.0,1.0,64,99.615316,,120.031548,1.204951,23,65,42,2,21,46,0.913043,0.913043,0.086957,1.826087,2.826087,8.418187,13.090878,193.6183,301.0902
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,50,0.9,1.0,64,86.884358,,107.713099,1.239729,22,64,42,1,21,44,0.954545,0.954545,0.045455,1.909091,2.909091,10.115441,14.818314,222.5397,326.0029
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,20,0.0,1.0,64,95.379871,,136.157684,1.427531,15,66,51,4,11,60,0.85,0.733333,0.266667,3.4,4.4,15.41584,13.6958,231.2376,205.437
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,20,0.9,1.0,64,96.775177,,106.287442,1.098292,18,67,49,11,7,72,0.680556,0.388889,0.611111,2.722222,3.722222,17.132172,14.905689,308.3791,268.3024
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,50,0.0,1.0,64,92.921923,,152.536291,1.641553,13,65,52,0,13,52,1.0,1.0,0.0,4,5,15.992392,13.487246,207.9011,175.3342
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,50,0.9,1.0,64,96.274325,,112.978825,1.173509,17,68,51,7,10,68,0.75,0.588235,0.411765,3,4,17.391012,14.931347,295.6472,253.8329
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_1,2,20,0.0,1.0,64,93.010409,,119.385793,1.283575,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,8.643883,13.28707,198.8093,305.6026
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_1,2,20,0.9,1.0,64,91.398822,,95.095376,1.040444,27,65,38,11,16,54,0.703704,0.592593,0.407407,1.407407,2.407407,9.046289,14.189878,244.2498,383.1267
