pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,2,20,0.0,1.0,64,101.244214,,70.61873,0.697509,25,65,40,6,19,50,0.8,0.76,0.24,1.6,2.6,14.912024,20.033632,372.8006,500.8408
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_2,2,20,0.0,1.0,64,100.297429,,70.095597,0.698877,25,64,39,8,17,50,0.78,0.68,0.32,1.56,2.56,14.903272,19.758688,372.5818,493.9672
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_3,2,20,0.0,1.0,64,101.307822,,66.353065,0.654965,27,65,38,10,17,54,0.703704,0.62963,0.37037,1.407407,2.407407,14.466607,19.9641,390.5984,539.0307
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_4,2,20,0.0,1.0,64,87.82189,,71.385175,0.81284,22,64,42,1,21,44,0.954545,0.954545,0.045455,1.909091,2.909091,17.855909,21.025318,392.83,462.557
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_5,2,20,0.0,1.0,64,101.310226,,73.55358,0.726023,22,64,42,1,21,44,0.954545,0.954545,0.045455,1.909091,2.909091,16.090691,21.552141,353.9952,474.1471
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_6,2,20,0.0,1.0,64,102.41825,,69.523229,0.678817,24,66,42,4,20,48,0.875,0.833333,0.166667,1.75,2.75,16.217183,21.326808,389.2124,511.8434
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_7,2,20,0.0,1.0,64,76.790171,,60.447775,0.787181,22,66,44,0,22,44,1.0,1.0,0.0,2,3,20.393586,27.089227,448.6589,595.963
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_8,2,20,0.0,1.0,64,74.389843,,57.509355,0.773081,25,65,40,7,18,50,0.8,0.72,0.28,1.6,2.6,18.384736,24.737792,459.6184,618.4448
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_9,2,20,0.0,1.0,64,77.365286,,64.965564,0.839725,22,64,42,2,20,44,0.954545,0.909091,0.090909,1.909091,2.909091,18.109355,24.579714,398.4058,540.7537
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_10,2,20,0.0,1.0,64,90.998346,,91.65687,1.007237,23,65,42,3,20,46,0.913043,0.869565,0.130435,1.826087,2.826087,12.076126,16.71527,277.7509,384.4512
