pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,50,0.0,1.0,64,22.182538,2930.232778,45.080504,,24.004077,1.082116,24,65,41,6,18,48,0.854167,0.75,0.25,1.708333,2.708333,62.239046,48.776136,1493.73711,1170.627266
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,50,0.9,1.0,64,21.050295,3040.337374,47.505271,,23.731382,1.127366,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,64.423983,51.09181,1481.751617,1175.111637
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,100,0.0,1.0,64,21.678622,2952.217113,46.128392,,23.45074,1.081745,24,64,40,4,20,48,0.833333,0.833333,0.166667,1.666667,2.666667,62.973771,49.030191,1511.370495,1176.724584
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,2,100,0.9,1.0,64,22.107608,2940.164359,45.233298,,22.702688,1.026917,25,65,40,6,19,50,0.8,0.76,0.24,1.6,2.6,63.096514,49.746252,1577.412839,1243.656297
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,50,0.0,1.0,64,22.522101,2886.053987,44.400831,,26.152564,1.161196,14,65,51,3,11,56,0.910714,0.785714,0.214286,3.642857,4.642857,124.418988,50.686067,1741.86583,709.604943
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,50,0.9,1.0,64,22.038053,2994.819947,45.37606,,18.515152,0.840145,20,66,46,13,7,80,0.575,0.35,0.65,2.3,3.3,123.947208,52.031029,2478.94416,1040.62058
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,100,0.0,1.0,64,22.130535,2937.118365,45.186436,,21.600642,0.976056,17,65,48,6,11,68,0.705882,0.647059,0.352941,2.823529,3.823529,124.660252,50.085154,2119.224279,851.447621
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,4,100,0.9,1.0,64,21.599767,2962.994876,46.296795,,23.896169,1.106316,15,64,49,5,10,60,0.816667,0.666667,0.333333,3.266667,4.266667,124.137628,52.019492,1862.064417,780.292387
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,6,50,0.0,1.0,64,21.859128,2927.838665,45.747479,,26.953152,1.233039,10,64,54,1,9,60,0.9,0.9,0.1,5.4,6.4,183.928164,50.667011,1839.281638,506.670107
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,6,50,0.9,1.0,64,22.210982,2971.50295,45.022772,,27.215423,1.225314,10,66,56,2,8,60,0.933333,0.8,0.2,5.6,6.6,185.744943,53.717652,1857.449425,537.176521
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,6,100,0.0,1.0,64,21.896848,2922.795157,45.668674,,24.899642,1.137134,11,64,53,3,8,66,0.80303,0.727273,0.272727,4.818182,5.818182,180.885507,50.00936,1989.740572,550.102955
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_1,6,100,0.9,1.0,64,21.944916,2961.961638,45.568641,,20.553155,0.936579,13,65,52,5,8,78,0.666667,0.615385,0.384615,4,5,186.49624,54.117658,2424.451122,703.529551
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,2,50,0.0,1.0,64,22.548966,2926.963447,44.347931,,25.405711,1.126691,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,62.23441,48.989133,1431.391441,1126.750066
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,2,50,0.9,1.0,64,22.005904,2999.195168,45.442351,,22.969486,1.043787,25,66,41,6,19,50,0.82,0.76,0.24,1.64,2.64,63.247389,49.949399,1581.184732,1248.734976
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,2,100,0.0,1.0,64,22.6122,2918.77841,44.223915,,24.932447,1.10261,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,64.129379,49.199786,1474.975725,1131.59508
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,2,100,0.9,1.0,64,21.769971,2939.829332,45.934833,,20.564689,0.944636,27,64,37,10,17,54,0.685185,0.62963,0.37037,1.37037,2.37037,63.329508,50.16863,1709.896721,1354.553021
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,4,50,0.0,1.0,64,22.019539,2906.509572,45.414212,,25.920918,1.177178,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,123.242377,50.703309,1725.393277,709.846324
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,4,50,0.9,1.0,64,22.133695,2936.698969,45.179984,,25.744497,1.163136,14,65,51,3,11,56,0.910714,0.785714,0.214286,3.642857,4.642857,125.010517,52.875758,1750.147239,740.260618
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,4,100,0.0,1.0,64,21.812293,2934.125266,45.845707,,25.922621,1.188441,14,64,50,4,10,56,0.892857,0.714286,0.285714,3.571429,4.571429,124.043738,49.820297,1736.612332,697.484158
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,4,100,0.9,1.0,64,22.691825,2952.605187,44.068734,,27.031596,1.191248,14,67,53,3,11,56,0.946429,0.785714,0.214286,3.785714,4.785714,123.076491,51.550795,1723.07088,721.711131
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,6,50,0.0,1.0,64,21.877241,2925.414601,45.709603,,24.157851,1.104246,11,64,53,4,7,66,0.80303,0.636364,0.363636,4.818182,5.818182,186.942963,51.019093,2056.372593,561.210028
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,6,50,0.9,1.0,64,21.766196,2940.339207,45.9428,,26.522201,1.218504,10,64,54,2,8,60,0.9,0.8,0.2,5.4,6.4,184.786683,53.595187,1847.866831,535.951871
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,6,100,0.0,1.0,64,21.678397,2952.247791,46.128872,,26.639756,1.228862,10,64,54,1,9,60,0.9,0.9,0.1,5.4,6.4,185.427711,51.881254,1854.277108,518.81254
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_2,6,100,0.9,1.0,64,21.579255,2965.811428,46.340804,,24.044048,1.114221,11,64,53,4,7,66,0.80303,0.636364,0.363636,4.818182,5.818182,185.83231,53.299432,2044.155414,586.293747
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,code,code_3,2,50,0.0,1.0,64,21.751008,2942.392363,45.974881,,25.137647,1.1557,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,61.058285,47.984745,1404.340551,1103.649146
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,code,code_3,2,50,0.9,1.0,64,21.928799,2964.138605,45.602132,,21.112326,0.962767,26,65,39,7,19,52,0.75,0.730769,0.269231,1.5,2.5,64.954324,51.668998,1688.812413,1343.393955
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,code,code_3,2,100,0.0,1.0,64,21.780314,2938.433253,45.91302,,24.328232,1.116983,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,63.291509,49.328437,1455.704704,1134.554061
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,code,code_3,2,100,0.9,1.0,64,22.222414,2969.974343,44.999611,,22.082564,0.993707,26,66,40,7,19,52,0.769231,0.730769,0.269231,1.538462,2.538462,62.934171,50.288401,1636.288434,1307.498421
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,code,code_3,4,50,0.0,1.0,64,22.696259,2907.968215,44.060124,,26.554272,1.169985,14,66,52,1,13,56,0.928571,0.928571,0.071429,3.714286,4.714286,124.958912,50.201508,1749.424765,702.821116
