pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,50,0.0,1.0,64,54.754681,1187.113106,18.263279,,87.462686,1.597355,23,65,42,2,21,46,0.913043,0.913043,0.086957,1.826087,2.826087,11.801372,19.201134,271.431566,441.626091
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,50,0.9,1.0,64,51.702427,1237.852909,19.341452,,82.585715,1.597328,22,64,42,2,20,44,0.954545,0.909091,0.090909,1.909091,2.909091,13.226524,20.703487,290.983531,455.476712
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,100,0.0,1.0,64,54.387697,1176.736716,18.386511,,79.874131,1.468607,24,64,40,5,19,48,0.833333,0.791667,0.208333,1.666667,2.666667,12.143183,19.842197,291.436394,476.212737
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,100,0.9,1.0,64,51.757393,1236.538326,19.320911,,75.054959,1.45013,24,64,40,5,19,48,0.833333,0.791667,0.208333,1.666667,2.666667,13.344473,20.867251,320.267342,500.814027
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,50,0.0,1.0,64,55.590422,1169.26617,17.98871,,109.774335,1.974699,13,65,52,0,13,52,1.0,1.0,0.0,4,5,23.161562,20.399549,301.100307,265.194143
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,50,0.9,1.0,64,56.665962,1200.014916,17.647278,,82.699051,1.459413,17,68,51,7,10,68,0.75,0.588235,0.411765,3,4,24.55785,21.954737,417.483449,373.230521
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,100,0.0,1.0,64,55.741813,1166.090525,17.939854,,91.684369,1.644804,16,65,49,4,12,64,0.765625,0.75,0.25,3.0625,4.0625,22.559856,19.948525,360.957693,319.176394
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,100,0.9,1.0,64,55.200982,1177.51529,18.11562,,83.304141,1.509106,16,65,49,6,10,64,0.765625,0.625,0.375,3.0625,4.0625,24.825673,22.115626,397.210775,353.850022
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,6,50,0.0,1.0,64,55.173653,1178.098537,18.124593,,110.066753,1.994915,10,65,55,2,8,60,0.916667,0.8,0.2,5.5,6.5,34.672611,21.683612,346.72611,216.836121
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,6,50,0.9,1.0,64,52.491632,1219.241955,19.050656,,58.092451,1.106699,18,64,46,13,5,108,0.425926,0.277778,0.722222,2.555556,3.555556,35.890244,23.346096,646.02439,420.229736
