pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,50,0.0,1.0,64,30.071863,2194.742668,33.253677,,34.288046,1.140204,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,43.58073,38.603005,1002.35678,887.86912
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,50,0.9,1.0,64,28.12448,2275.597624,35.556213,,30.891487,1.098384,24,64,40,5,19,48,0.833333,0.791667,0.208333,1.666667,2.666667,44.727484,40.120668,1073.459625,962.896022
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,100,0.0,1.0,64,29.88595,2208.395618,33.46054,,36.053972,1.206385,22,66,44,0,22,44,1.0,1.0,0.0,2,3,43.394467,38.388905,954.678278,844.555909
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,100,0.9,1.0,64,29.967081,2202.416734,33.369951,,33.39178,1.114282,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,44.653347,39.857469,1027.026988,916.721789
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,50,0.0,1.0,64,29.966804,2202.437104,33.370259,,34.860413,1.163301,15,66,51,4,11,60,0.85,0.733333,0.266667,3.4,4.4,84.414355,39.728832,1266.215318,595.93248
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,50,0.9,1.0,64,30.291238,2211.860703,33.012846,,30.869414,1.019087,17,67,50,6,11,68,0.735294,0.647059,0.352941,2.941176,3.941176,84.699478,41.030253,1439.891119,697.514306
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,100,0.0,1.0,64,30.273923,2213.125768,33.031728,,37.513635,1.23914,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,85.559197,39.822618,1197.828755,557.516655
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,100,0.9,1.0,64,30.27701,2212.900182,33.028361,,30.63952,1.011973,17,67,50,7,10,68,0.735294,0.588235,0.411765,2.941176,3.941176,85.214399,41.416534,1448.64478,704.081084
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,50,0.0,1.0,64,30.027452,2197.988719,33.302859,,32.792454,1.092082,12,66,54,5,7,72,0.75,0.583333,0.416667,4.5,5.5,124.885788,40.330605,1498.629454,483.967255
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,50,0.9,1.0,64,31.380602,2198.81061,31.86682,,35.883983,1.143508,11,69,58,3,8,66,0.878788,0.727273,0.272727,5.272727,6.272727,128.63619,43.469183,1414.998094,478.161011
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,100,0.0,1.0,64,31.9287,2192.384916,31.319785,,41.415508,1.297125,10,70,60,0,10,60,1.0,1.0,0.0,6,7,125.710397,40.596672,1257.103968,405.966719
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,100,0.9,1.0,64,31.576052,2216.869903,31.66957,,33.668066,1.066253,12,70,58,4,8,72,0.805556,0.666667,0.333333,4.833333,5.833333,127.416783,43.311785,1529.001401,519.74142
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,50,0.0,1.0,64,29.646319,2192.515027,33.731,,35.786568,1.207117,22,65,43,1,21,44,0.977273,0.954545,0.045455,1.954545,2.954545,43.091929,38.041804,948.022429,836.919688
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,50,0.9,1.0,64,28.711757,2229.052008,34.828938,,32.581629,1.134784,23,64,41,4,19,46,0.891304,0.826087,0.173913,1.782609,2.782609,44.29224,39.668135,1018.721517,912.367113
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,100,0.0,1.0,64,30.253902,2181.536775,33.053588,,34.493209,1.140124,23,66,43,3,20,46,0.934783,0.869565,0.130435,1.869565,2.869565,43.26862,38.482434,995.178262,885.09598
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,100,0.9,1.0,64,29.47076,2205.57594,33.931938,,34.394592,1.167075,22,65,43,1,21,44,0.977273,0.954545,0.045455,1.954545,2.954545,44.666933,39.775024,982.672517,875.050527
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,50,0.0,1.0,64,29.555869,2199.224803,33.834228,,34.722784,1.174819,15,65,50,5,10,60,0.833333,0.666667,0.333333,3.333333,4.333333,83.447231,39.316847,1251.708469,589.752699
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,50,0.9,1.0,64,29.585916,2196.99127,33.799866,,31.387084,1.060879,16,65,49,5,11,64,0.765625,0.6875,0.3125,3.0625,4.0625,85.737696,41.728554,1371.803141,667.656863
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,100,0.0,1.0,64,29.890548,2174.600458,33.455392,,39.255095,1.313295,13,65,52,0,13,52,1.0,1.0,0.0,4,5,85.416784,39.844583,1110.418198,517.979574
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,100,0.9,1.0,64,29.428974,2208.707662,33.980118,,35.620387,1.210385,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,86.453762,41.828771,1210.352664,585.60279
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,6,50,0.0,1.0,64,32.16644,2176.181105,31.088302,,34.944709,1.086372,12,70,58,4,8,72,0.805556,0.666667,0.333333,4.833333,5.833333,124.185242,40.206931,1490.222904,482.48317
