pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,nf4,none,15.562511,4112.446859,64.256982,,19.45803,1.250314,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,162.943743,69.726952,2281.2124,976.177326
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,nf4,none,15.70562,4265.98882,63.671475,,17.650224,1.123816,16,67,51,6,10,64,0.796875,0.625,0.375,3.1875,4.1875,163.228951,71.774128,2611.663211,1148.386052
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,nf4,none,15.789056,4116.775523,63.335008,,20.85529,1.32087,13,65,52,0,13,52,1.0,1.0,0.0,4,5,167.627115,69.853964,2179.152499,908.101538
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,nf4,none,16.191399,4137.999431,61.761186,,19.673474,1.215057,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,168.605699,72.365362,2360.479787,1013.115069
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,nf4,none,15.77159,4121.334636,63.405148,,18.857695,1.195675,15,65,50,5,10,60,0.833333,0.666667,0.333333,3.333333,4.333333,157.823521,69.681201,2367.352821,1045.218022
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,nf4,none,16.400189,4146.293603,60.974906,,19.254323,1.174031,15,68,53,3,12,60,0.883333,0.8,0.2,3.533333,4.533333,161.38479,71.882938,2420.771852,1078.244068
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,nf4,none,15.990414,4127.472759,62.537466,,17.898289,1.119314,16,66,50,5,11,64,0.78125,0.6875,0.3125,3.125,4.125,158.673159,69.64549,2538.770544,1114.327833
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,nf4,none,15.673642,4147.089648,63.801379,,20.721839,1.322082,13,65,52,0,13,52,1.0,1.0,0.0,4,5,166.723521,72.34085,2167.405777,940.43105
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,nf4,none,15.732429,4131.593479,63.562977,,20.603673,1.309631,10,65,55,1,9,60,0.916667,0.9,0.1,5.5,6.5,241.422324,71.259404,2414.223236,712.594039
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,nf4,none,16.659549,4141.768885,60.025636,,16.706099,1.002794,13,69,56,6,7,78,0.717949,0.538462,0.461538,4.307692,5.307692,240.837224,74.175612,3130.883912,964.28295
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.0,1.0,64,nf4,none,16.52928,4113.91174,60.498702,,21.831792,1.320795,10,68,58,1,9,60,0.966667,0.9,0.1,5.8,6.8,237.496518,71.134608,2374.965183,711.346077
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.9,1.0,64,nf4,none,16.406664,4144.657238,60.950842,,17.96584,1.095033,12,68,56,4,8,72,0.777778,0.666667,0.333333,4.666667,5.666667,238.692712,73.937607,2864.31254,887.251283
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.0,1.0,64,nf4,none,15.564651,4111.881426,64.248147,,17.455592,1.121489,12,64,52,5,7,72,0.722222,0.583333,0.416667,4.333333,5.333333,232.167988,70.756386,2786.01585,849.076631
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.9,1.0,64,nf4,none,16.218454,4131.096493,61.658157,,19.526142,1.203946,11,67,56,2,9,66,0.848485,0.818182,0.181818,5.090909,6.090909,235.357626,73.914477,2588.933884,813.059242
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.0,1.0,64,nf4,none,16.463339,4130.389342,60.74102,,17.037727,1.034889,13,68,55,7,6,78,0.705128,0.461538,0.538462,4.230769,5.230769,233.399702,70.806867,3034.196125,920.489274
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.9,1.0,64,nf4,none,16.425007,4140.028748,60.882776,,21.261224,1.294442,10,68,58,1,9,60,0.966667,0.9,0.1,5.8,6.8,242.319739,74.579432,2423.19739,745.794321
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.0,1.0,64,nf4,none,17.257437,4114.168357,57.946033,,18.276316,1.05904,10,71,61,4,6,80,0.7625,0.6,0.4,6.1,7.1,313.087419,72.204862,3130.874192,722.048616
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.9,1.0,64,nf4,none,15.656566,4151.612819,63.870966,,12.118845,0.774042,14,65,51,11,3,112,0.455357,0.214286,0.785714,3.642857,4.642857,305.824854,74.681188,4281.547961,1045.536632
