pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,int8,none,16.220049,4130.690347,61.652095,,12.566618,0.774758,15,67,52,3,12,60,0.866667,0.8,0.2,3.466667,4.466667,283.224861,69.867378,4248.372916,1048.010668
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,int8,none,15.287817,4186.340087,65.411564,,12.663923,0.828367,14,64,50,2,12,56,0.892857,0.857143,0.142857,3.571429,4.571429,286.178145,72.502125,4006.494027,1015.029747
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,int8,none,15.943907,4139.512437,62.719885,,13.089084,0.820946,14,66,52,2,12,56,0.928571,0.857143,0.142857,3.714286,4.714286,287.723358,70.074519,4028.127018,981.043271
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,int8,none,15.6301,4158.642552,63.979116,,11.460772,0.73325,16,65,49,5,11,64,0.765625,0.6875,0.3125,3.0625,4.0625,280.151557,72.097938,4482.424913,1153.56701
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,int8,none,16.19156,4137.958409,61.760573,,13.361352,0.825205,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,285.687749,70.071058,3999.628485,980.994808
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,int8,none,15.610249,4163.930926,64.060476,,12.595015,0.806843,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,293.687912,72.580751,4111.630763,1016.130509
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,int8,none,15.721995,4134.335396,63.60516,,12.941582,0.823151,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,286.2616,70.103782,4007.662395,981.452951
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,int8,none,15.426709,4148.648863,64.822638,,12.742756,0.826019,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,284.00686,72.426919,3976.09604,1013.976865
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,int8,none,15.987975,4128.102575,62.547009,,10.269631,0.642335,13,66,53,5,8,78,0.679487,0.615385,0.384615,4.076923,5.076923,420.809099,70.926348,5470.518292,922.042525
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,int8,none,15.63449,4157.474788,63.961151,,10.741345,0.687029,12,65,53,5,7,72,0.736111,0.583333,0.416667,4.416667,5.416667,427.284511,74.269294,5127.414131,891.231523
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.0,1.0,64,int8,none,16.960004,4127.357525,58.96225,,12.827571,0.756342,11,70,59,2,9,66,0.893939,0.818182,0.181818,5.363636,6.363636,422.219932,71.08998,4644.419249,781.989776
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.9,1.0,64,int8,none,16.885101,4145.666678,59.22381,,11.834769,0.7009,12,70,58,3,9,72,0.805556,0.75,0.25,4.833333,5.833333,416.178456,74.018102,4994.141476,888.217229
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.0,1.0,64,int8,none,16.484489,4125.089993,60.663088,,13.753979,0.834359,10,68,58,1,9,60,0.966667,0.9,0.1,5.8,6.8,420.154858,71.36657,4201.548581,713.665699
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.9,1.0,64,int8,none,15.926017,4144.162474,62.790341,,11.149493,0.70008,12,66,54,5,7,72,0.75,0.583333,0.416667,4.5,5.5,416.490167,74.078804,4997.881999,888.945653
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.0,1.0,64,int8,none,15.521535,4123.303488,64.426617,,13.072901,0.842243,10,64,54,1,9,60,0.9,0.9,0.1,5.4,6.4,415.492182,71.296362,4154.921824,712.963618
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.9,1.0,64,int8,none,15.681063,4145.127029,63.771185,,11.868552,0.756872,11,65,54,4,7,66,0.818182,0.636364,0.363636,4.909091,5.909091,421.036613,74.099495,4631.402748,815.09444
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.0,1.0,64,int8,none,17.219315,4123.276789,58.074321,,10.270959,0.596479,11,71,60,4,7,88,0.681818,0.636364,0.363636,5.454545,6.454545,553.417249,72.020052,6087.589737,792.220569
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.9,1.0,64,int8,none,17.376451,4143.538743,57.549149,,12.738857,0.73311,9,72,63,2,7,72,0.875,0.777778,0.222222,7,8,548.126714,76.507133,4933.140422,688.564194
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,100,0.0,1.0,64,int8,none,16.019874,4119.882534,62.422463,,12.980283,0.810261,8,66,58,1,7,64,0.90625,0.875,0.125,7.25,8.25,559.658832,72.567681,4477.270658,580.54145
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,100,0.9,1.0,64,int8,none,15.424752,4149.175187,64.830862,,9.919757,0.643106,10,64,54,5,5,80,0.675,0.5,0.5,5.4,6.4,565.84161,76.231311,5658.416095,762.313106
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,150,0.0,1.0,64,int8,none,16.462112,4130.697262,60.745548,,13.447776,0.816892,8,68,60,1,7,64,0.9375,0.875,0.125,7.5,8.5,555.777522,72.776829,4446.220177,582.214631
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,150,0.9,1.0,64,int8,none,15.443518,4144.133433,64.752085,,11.179494,0.723896,9,64,55,3,6,72,0.763889,0.666667,0.333333,6.111111,7.111111,556.524381,76.410696,5008.719428,687.696266
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,200,0.0,1.0,64,int8,none,17.443603,4127.587638,57.327606,,12.692354,0.727622,9,72,63,2,7,72,0.875,0.777778,0.222222,7,8,554.585596,72.364366,4991.270367,651.279291
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,200,0.9,1.0,64,int8,none,15.419512,4150.585393,64.852897,,7.24419,0.469807,14,64,50,11,3,112,0.446429,0.214286,0.785714,3.571429,4.571429,553.423734,74.979771,7747.932269,1049.716794
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,50,0.0,1.0,64,int8,none,15.526397,4122.012264,64.406442,,9.135615,0.588392,9,64,55,7,2,90,0.611111,0.222222,0.777778,6.111111,7.111111,701.931789,73.039806,6317.386098,657.358258
