pair_name,family,approx_quant,target_quant,gamma,top_k,top_p,trials,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
llama32_1b_to_31_8b,llama_cross,none,nf4,10,150,0.0,6,14.207298833333333,4857.412169166667,70.44976883333334,25.925571833333333,1.8302103333333333,0.8378308333333333,0.7751325000000001,0.2248675,8.378307,9.378307,216.244698,141.465672,1621.5702939999999,1060.1504455000002,7.5,69.0
llama32_1b_to_31_8b,llama_cross,none,nf4,10,200,0.0,6,13.798484333333333,4915.507115833333,72.58531716666667,24.766577833333333,1.8012695,0.7999338333333333,0.6732806666666667,0.32671933333333336,7.9993385,8.9993385,217.88437416666667,141.44269933333334,1669.447752,1083.98541,7.666666666666667,67.83333333333333
llama32_1b_to_31_8b,llama_cross,none,nf4,6,200,0.0,6,13.6985435,4842.725968666667,73.0888645,23.6515885,1.7291751666666666,0.9064816666666666,0.8583333333333334,0.1416666666666667,5.438888833333333,6.438888833333333,130.5404215,138.81381816666666,1348.6099671666668,1434.2382426666666,10.333333333333334,66.33333333333333
llama32_1b_to_31_8b,llama_cross,none,nf4,10,100,0.0,6,14.0222105,4872.7628878333335,71.37612783333333,23.871364999999997,1.7052926666666668,0.7591205,0.6396165,0.36038349999999997,7.591203833333334,8.591203833333333,215.19279516666666,141.0313585,1758.3966166666667,1151.1042438333334,8.166666666666666,68.33333333333333
llama32_1b_to_31_8b,llama_cross,none,nf4,8,150,0.0,6,13.934505999999999,4880.284531166667,71.93331666666667,23.656325,1.7033538333333331,0.8112636666666667,0.6949496666666667,0.30505033333333337,6.490109333333334,7.490109333333334,173.23614416666666,139.99356983333334,1587.8523686666667,1282.6866838333333,9.166666666666666,68.0
llama32_1b_to_31_8b,llama_cross,none,nf4,8,200,0.0,6,13.847375,4875.169380166667,72.3046605,23.415868333333336,1.6933538333333333,0.8030093333333334,0.6777778333333333,0.32222216666666664,6.424074,7.424074,173.6840801666667,139.96156516666667,1591.7578736666667,1282.6823856666667,9.166666666666666,67.5
llama32_1b_to_31_8b,llama_cross,none,nf4,8,100,0.0,6,14.315112833333332,4868.8012143333335,70.02550866666667,23.103683333333333,1.6108451666666666,0.7865530000000001,0.6838384999999999,0.3161615,6.292424166666667,7.292424166666667,172.54247999999998,139.7971236666667,1667.9267555,1350.8777216666667,9.666666666666666,69.66666666666667
llama32_1b_to_31_8b,llama_cross,none,nf4,10,50,0.0,6,14.273252999999999,4892.564870333334,70.1138955,22.481783333333336,1.576723,0.7113758333333333,0.5582011666666666,0.44179883333333336,7.113756833333333,8.113756833333333,216.35526483333334,140.94975266666668,1875.4893108333333,1221.3218441666666,8.666666666666666,69.83333333333333
llama32_1b_to_31_8b,llama_cross,none,nf4,6,100,0.0,6,13.772861999999998,4878.330157833333,72.71481633333333,21.463564,1.5613146666666669,0.8101431666666666,0.7280303333333333,0.27196966666666667,4.860858666666666,5.860858666666666,131.67738599999998,138.5528671666667,1513.629201,1593.2616098333335,11.5,67.16666666666667
llama32_1b_to_31_8b,llama_cross,none,nf4,8,200,0.9,6,13.689657833333333,4894.978146,73.127978,21.114502333333334,1.5486361666666666,0.7304766666666667,0.6166666666666667,0.3833333333333333,5.843813,6.843813,176.905064,143.65985550000002,1766.4230551666667,1435.2851726666668,10.0,67.0
llama32_1b_to_31_8b,llama_cross,none,nf4,8,100,0.9,6,13.740130166666667,4877.0450965,72.928431,21.1916175,1.5465186666666666,0.7373843333333333,0.6194445000000001,0.3805555,5.899074,6.899074,178.4726935,143.65940700000002,1753.4811364999998,1411.6586761666667,9.833333333333334,67.0
llama32_1b_to_31_8b,llama_cross,none,nf4,6,150,0.0,6,13.794754833333334,4869.571479,72.54872116666667,21.305122666666666,1.5446866666666665,0.7998219999999999,0.6953575000000001,0.3046425,4.798931666666667,5.798931666666667,130.801687,138.51932883333333,1525.2808821666667,1615.6919455,11.666666666666666,67.16666666666667
llama32_1b_to_31_8b,llama_cross,none,nf4,8,50,0.0,6,13.683546666666667,4897.251300666667,73.14057783333334,21.047540166666668,1.5385336666666667,0.7110933333333334,0.5883191666666666,0.41168083333333333,5.6887463333333335,6.6887463333333335,174.75344066666665,139.8157163333333,1776.1755241666667,1421.0508105,10.166666666666666,67.0
llama32_1b_to_31_8b,llama_cross,none,nf4,10,50,0.9,6,14.011593666666668,4900.4001026666665,71.57946033333333,21.320988,1.5266816666666667,0.6871031666666667,0.4801586666666666,0.5198413333333334,6.871031666666667,7.871031666666667,220.17625183333334,145.43669500000001,1945.051258166667,1284.3097673333334,8.833333333333334,68.66666666666667
