pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,none,nf4,13.531964,4951.240055,73.899105,,20.885816,1.543443,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,88.980918,137.789278,1245.732855,1929.049886
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,none,nf4,12.886241,4966.537651,77.602151,,18.243776,1.415756,15,64,49,5,10,60,0.816667,0.666667,0.333333,3.266667,4.266667,91.062259,140.497807,1365.933882,2107.467107
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,none,nf4,13.505378,4886.941961,74.044575,,20.627452,1.527351,14,66,52,1,13,56,0.928571,0.928571,0.071429,3.714286,4.714286,87.96598,138.308239,1231.523726,1936.315344
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,none,nf4,13.609053,4923.193475,73.4805,,20.457811,1.50325,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,91.079916,140.58632,1275.118831,1968.208486
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,none,nf4,13.596365,4927.787655,73.549069,,20.844114,1.533065,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,89.108537,138.142459,1247.519519,1933.994423
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,none,nf4,13.590173,4930.033037,73.582583,,19.184803,1.411667,15,67,52,5,10,60,0.866667,0.666667,0.333333,3.466667,4.466667,90.481177,139.980896,1357.217649,2099.713442
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,none,nf4,13.818842,4848.45251,72.364963,,18.443135,1.334637,16,67,51,4,12,64,0.796875,0.75,0.25,3.1875,4.1875,87.563956,137.319432,1401.023304,2197.11091
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,none,nf4,13.78382,4933.320438,72.54883,,18.243485,1.323544,16,68,52,7,9,64,0.8125,0.5625,0.4375,3.25,4.25,90.772005,139.846144,1452.352079,2237.538302
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,none,nf4,13.13415,4948.930789,76.137397,,19.940059,1.518184,12,65,53,5,7,72,0.736111,0.583333,0.416667,4.416667,5.416667,130.224998,138.706009,1562.699972,1664.472107
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,none,nf4,14.085025,4969.817281,70.99739,,20.885742,1.482833,12,70,58,3,9,72,0.805556,0.75,0.25,4.833333,5.833333,134.571643,141.969631,1614.859714,1703.635569
