pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,none,int8,6.911534,9259.884018,144.685688,,17.676832,2.557585,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,84.697473,171.649443,1185.764619,2403.092207
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,none,int8,7.028788,9247.681938,142.27203,,17.298803,2.461136,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,88.615701,177.545415,1240.619818,2485.635814
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,none,int8,6.984689,9162.898824,143.170294,,17.645125,2.526258,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,83.902237,172.940605,1174.63132,2421.168474
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,none,int8,7.051178,9218.317836,141.820274,,16.382092,2.323313,15,65,50,4,11,60,0.833333,0.733333,0.266667,3.333333,4.333333,86.248684,176.051039,1293.730267,2640.765578
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,none,int8,7.261915,9226.215988,137.704716,,18.258267,2.514249,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,84.718371,175.128244,1186.057192,2451.795417
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,none,int8,7.172127,9202.291417,139.428658,,17.716969,2.470253,14,66,52,2,12,56,0.928571,0.857143,0.142857,3.714286,4.714286,87.196884,176.574806,1220.756383,2472.047291
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,none,int8,7.302823,8900.667989,136.933354,,18.016159,2.467013,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,84.492096,171.008763,1182.889348,2394.122685
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,none,int8,7.401454,9187.38351,135.108581,,18.356067,2.480062,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,86.891306,175.481705,1216.478278,2456.743876
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,none,int8,7.367705,9093.740906,135.727476,,18.405366,2.498114,12,67,55,4,8,72,0.763889,0.666667,0.333333,4.583333,5.583333,124.955871,175.776649,1499.470456,2109.31979
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,none,int8,7.352646,9248.371026,136.005456,,16.692002,2.270203,13,68,55,5,8,78,0.705128,0.615385,0.384615,4.230769,5.230769,130.029147,180.790098,1690.378912,2350.271277
