pair_name,family,approx_quant,target_quant,gamma,top_k,top_p,trials,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
llama32_1b_to_31_8b,llama_cross,int8,int8,6,150,0.0,6,7.365636833333333,9005.965594,135.8920345,10.619406666666666,1.4432325,0.8733165,0.7674243333333334,0.23257566666666665,5.239899,6.239899,411.4453905,173.40969900000002,4388.752443,1849.8063671666666,10.666666666666666,66.33333333333333
llama32_1b_to_31_8b,llama_cross,int8,int8,6,100,0.0,6,7.3555205,9042.220231166668,136.08189683333333,10.6044625,1.4429968333333332,0.8765571666666667,0.8020203333333334,0.19797966666666666,5.259343333333333,6.259343333333334,412.4630291666667,174.90123416666665,4397.1164905,1865.3094316666666,10.666666666666666,66.5
llama32_1b_to_31_8b,llama_cross,int8,int8,4,200,0.0,6,7.325783333333334,8986.694538333333,136.54404866666667,10.2155255,1.3953468333333332,0.9154455,0.8744811666666666,0.12551883333333333,3.661782666666667,4.661782666666666,282.17154866666664,172.0503891666667,3996.0536076666667,2436.7251518333333,14.166666666666666,65.83333333333333
llama32_1b_to_31_8b,llama_cross,int8,int8,4,150,0.0,6,7.333961833333333,9025.036666166667,136.479907,10.1206365,1.381094,0.9080108333333333,0.8646824999999999,0.1353175,3.6320436666666667,4.632043666666667,283.0347198333333,172.46830999999997,4052.2775663333327,2470.1417685,14.333333333333334,66.16666666666667
llama32_1b_to_31_8b,llama_cross,int8,int8,10,200,0.0,6,7.236882333333334,9073.381817,138.2741425,9.975715333333333,1.3762941666666668,0.7875,0.6428571666666666,0.35714283333333335,7.875,8.875,689.5241941666667,194.60292466666667,5159.8809855,1459.3154978333332,7.5,65.66666666666667
llama32_1b_to_31_8b,llama_cross,int8,int8,6,200,0.0,6,7.504393,8973.662065999999,133.42144583333334,10.2720125,1.3687848333333335,0.8617131666666666,0.7980188333333333,0.20198116666666666,5.170279666666667,6.170279666666667,421.7708191666666,175.9836561666667,4636.750710166667,1935.6910838333333,11.0,67.33333333333333
llama32_1b_to_31_8b,llama_cross,int8,int8,6,50,0.0,6,7.2759055,9117.155863333333,137.45787383333334,9.920074833333333,1.3643235,0.8151743333333333,0.7424633333333333,0.2575366666666667,4.891045,5.891044999999999,415.13703383333336,175.821924,4702.7345275,1991.8979263333333,11.333333333333334,66.33333333333333
llama32_1b_to_31_8b,llama_cross,int8,int8,8,100,0.0,6,7.556045166666666,9045.842293666667,132.58295033333334,10.248880999999999,1.357684,0.8273726666666666,0.7574074999999999,0.2425925,6.6189815,7.6189815,547.8106625,191.67642266666667,5014.986309999999,1756.5959206666666,9.166666666666666,68.33333333333333
llama32_1b_to_31_8b,llama_cross,int8,int8,10,150,0.0,6,7.431519166666667,9084.442345000001,134.78598183333335,10.059965166666666,1.3566143333333331,0.7866071666666666,0.6783070000000001,0.321693,7.8660715,8.8660715,681.7590123333333,193.927384,5323.2068305,1517.4504398333331,7.833333333333333,67.5
llama32_1b_to_31_8b,llama_cross,int8,int8,4,100,0.0,6,7.259929666666667,9075.397052833332,137.95456249999998,9.795220666666667,1.3510423333333332,0.8732886666666667,0.8263228333333333,0.17367716666666666,3.4931548333333335,4.4931548333333335,283.29659566666663,172.62318616666667,4192.5002565,2556.8847328333336,14.833333333333334,65.83333333333333
llama32_1b_to_31_8b,llama_cross,int8,int8,8,200,0.0,6,7.786921333333333,8947.805659833333,128.54152200000001,10.440117166666667,1.3387998333333335,0.8442759999999999,0.7304295000000001,0.2695705,6.754208666666667,7.754208666666667,547.5874563333333,191.90578283333332,5018.547867833334,1761.236885,9.166666666666666,69.66666666666667
