pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,int8,int8,7.403023,9185.437055,135.079957,,9.460266,1.277892,16,68,52,5,11,64,0.8125,0.6875,0.3125,3.25,4.25,276.334155,170.680013,4421.346481,2730.880213
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,int8,int8,7.3021,9312.389466,136.946904,,10.684262,1.463177,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,277.400111,174.855613,3883.601556,2447.978584
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,int8,int8,7.100692,9294.86909,140.83135,,8.188791,1.153238,18,66,48,8,10,72,0.666667,0.555556,0.444444,2.666667,3.666667,275.625146,170.02581,4961.252621,3060.464578
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,int8,int8,6.923082,9244.437541,144.444337,,9.93613,1.435218,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,278.315519,179.482447,3896.41726,2512.754259
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,int8,int8,7.352234,9112.87598,136.013074,,10.60197,1.442007,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,277.80854,171.349422,3889.319555,2398.891909
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,int8,int8,7.189005,9041.584912,139.101306,,10.416004,1.44888,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,271.594603,171.914079,3802.324441,2406.79711
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,int8,int8,7.431208,8881.463663,134.567631,,9.883004,1.329932,15,66,51,3,12,60,0.85,0.8,0.2,3.4,4.4,272.235074,170.791888,4083.526105,2561.878322
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,int8,int8,7.208215,9156.220042,138.730607,,9.683996,1.343467,15,66,51,4,11,60,0.85,0.733333,0.266667,3.4,4.4,277.00125,175.145545,4155.018748,2627.183175
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,int8,int8,7.201293,9303.884908,138.863954,,10.457475,1.452166,11,67,56,3,8,66,0.848485,0.727273,0.272727,5.090909,6.090909,404.946694,174.759589,4454.413639,1922.355478
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,int8,int8,7.529472,9031.17808,132.811442,,8.825024,1.172064,13,68,55,5,8,78,0.705128,0.615385,0.384615,4.230769,5.230769,413.64988,176.551011,5377.448444,2295.163147
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.0,1.0,64,int8,int8,7.625357,9179.897548,131.141394,,10.715511,1.405247,11,70,59,2,9,66,0.893939,0.818182,0.181818,5.363636,6.363636,411.12832,179.906128,4522.411523,1978.967406
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.9,1.0,64,int8,int8,7.579564,9235.359229,131.933703,,9.942295,1.311724,12,70,58,3,9,72,0.805556,0.75,0.25,4.833333,5.833333,406.040607,178.044204,4872.487285,2136.530443
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.0,1.0,64,int8,int8,7.601749,9208.407672,131.548681,,10.763814,1.415966,11,70,59,3,8,66,0.893939,0.727273,0.272727,5.363636,6.363636,413.252434,175.025883,4545.776772,1925.284708
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.9,1.0,64,int8,int8,6.871612,9313.680278,145.526254,,9.036658,1.315071,12,64,52,6,6,72,0.722222,0.5,0.5,4.333333,5.333333,409.766082,177.73349,4917.192979,2132.801882
