pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,none,none,16.282523,4114.841359,61.415543,,28.169675,1.730056,15,67,52,5,10,60,0.866667,0.666667,0.333333,3.466667,4.466667,86.718551,69.569858,1300.778271,1043.547866
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,none,none,16.066778,4170.095703,62.240234,,29.128636,1.812973,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,89.871033,72.175988,1258.194462,1010.463826
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,none,none,16.003671,4124.053702,62.485662,,29.561152,1.847148,14,66,52,1,13,56,0.928571,0.928571,0.071429,3.714286,4.714286,87.491558,69.787047,1224.881811,977.018665
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,none,none,15.466207,4138.054147,64.657096,,27.407265,1.772074,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,91.869428,72.540828,1286.171989,1015.571594
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,none,none,15.504744,4127.768807,64.496388,,28.506611,1.838573,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,88.11656,69.927045,1233.631846,978.978634
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,none,none,16.136246,4152.142871,61.972282,,24.088899,1.492844,17,67,50,8,9,68,0.735294,0.529412,0.470588,2.941176,3.941176,89.314622,72.048224,1518.348577,1224.819804
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,none,none,15.726016,4133.278299,63.588897,,29.227576,1.858549,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,86.733648,69.905809,1214.271065,978.68133
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,none,none,15.620727,4161.138071,64.017509,,26.211974,1.678025,15,65,50,6,9,60,0.833333,0.6,0.4,3.333333,4.333333,90.507366,72.425273,1357.610483,1086.379097
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,none,none,16.487365,4124.370288,60.652504,,25.871294,1.569159,13,68,55,6,7,78,0.705128,0.538462,0.461538,4.230769,5.230769,128.610429,70.899545,1671.935573,921.694082
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,none,none,15.65029,4153.277544,63.896578,,25.958969,1.658689,12,65,53,5,7,72,0.736111,0.583333,0.416667,4.416667,5.416667,131.902871,74.084968,1582.83445,889.019615
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.0,1.0,64,none,none,16.730704,4124.154073,59.770349,,28.20439,1.685786,12,69,57,4,8,72,0.791667,0.666667,0.333333,4.75,5.75,130.004775,71.082686,1560.057296,852.992235
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.9,1.0,64,none,none,15.430264,4147.693084,64.807704,,25.308048,1.640157,12,64,52,6,6,72,0.722222,0.5,0.5,4.333333,5.333333,133.654534,74.295264,1603.854407,891.543172
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.0,1.0,64,none,none,16.42563,4139.871617,60.880465,,32.656772,1.988159,10,68,58,1,9,60,0.966667,0.9,0.1,5.8,6.8,133.462727,71.675345,1334.627271,716.753452
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.9,1.0,64,none,none,16.831864,4158.77887,59.411127,,27.526232,1.635364,12,70,58,4,8,72,0.805556,0.666667,0.333333,4.833333,5.833333,134.673748,74.396623,1616.084977,892.759477
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.0,1.0,64,none,none,15.451985,4141.862607,64.716603,,30.623182,1.981828,10,64,54,1,9,60,0.9,0.9,0.1,5.4,6.4,134.111235,71.845789,1341.112353,718.45789
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.9,1.0,64,none,none,16.0837,4165.708124,62.174748,,25.870134,1.608469,12,67,55,5,7,72,0.763889,0.583333,0.416667,4.583333,5.583333,138.332163,74.584385,1659.985956,895.012624
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.0,1.0,64,none,none,15.930781,4142.92311,62.771562,,23.899732,1.500224,11,66,55,7,4,88,0.625,0.363636,0.636364,5,6,175.383043,72.387777,1929.213472,796.265551
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.9,1.0,64,none,none,17.319201,4157.235652,57.739384,,30.98103,1.788826,9,72,63,2,7,72,0.875,0.777778,0.222222,7,8,177.869322,76.895771,1600.823897,692.061942
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,100,0.0,1.0,64,none,none,15.504989,4127.703697,64.49537,,31.086266,2.00492,8,64,56,2,6,64,0.875,0.75,0.25,7,8,180.635562,73.129285,1445.084498,585.034282
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,100,0.9,1.0,64,none,none,16.82044,4161.603396,59.451477,,22.72861,1.351249,12,70,58,8,4,96,0.604167,0.333333,0.666667,4.833333,5.833333,177.768836,75.822738,2133.226032,909.872851
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,150,0.0,1.0,64,none,none,17.435058,4129.610634,57.355703,,31.973202,1.833845,9,72,63,3,6,72,0.875,0.666667,0.333333,7,8,173.856418,72.736031,1564.707761,654.62428
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,150,0.9,1.0,64,none,none,17.332948,4153.938572,57.693591,,25.869357,1.492496,11,72,61,7,4,88,0.693182,0.363636,0.636364,5.545455,6.545455,174.152262,75.725353,1915.674877,832.978888
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,200,0.0,1.0,64,none,none,16.225278,4129.359207,61.632227,,29.854157,1.839978,9,67,58,4,5,72,0.805556,0.555556,0.444444,6.444444,7.444444,173.328319,72.591119,1559.954868,653.320075
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,200,0.9,1.0,64,none,none,15.421688,4149.999669,64.843745,,25.143317,1.630387,10,64,54,5,5,80,0.675,0.5,0.5,5.4,6.4,175.327161,76.148966,1753.27161,761.489664
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,50,0.0,1.0,64,none,none,16.456083,4132.210545,60.767802,,25.263727,1.535221,9,68,59,5,4,90,0.655556,0.444444,0.555556,6.555556,7.555556,221.906496,73.543537,1997.158465,661.891832
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,50,0.9,1.0,64,none,none,15.65998,4150.707662,63.857041,,30.267197,1.932774,7,65,58,3,4,70,0.828571,0.571429,0.428571,8.285714,9.285714,223.543003,79.257355,1564.80102,554.801485
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,100,0.0,1.0,64,none,none,16.468906,4128.993163,60.720488,,29.096633,1.766762,8,68,60,3,5,80,0.75,0.625,0.375,7.5,8.5,214.928866,73.497915,1719.43093,587.98332
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,100,0.9,1.0,64,none,none,15.936952,4141.318794,62.747254,,24.261428,1.522338,9,66,57,5,4,90,0.633333,0.444444,0.555556,6.333333,7.333333,220.840266,77.979149,1987.56239,701.812345
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,150,0.0,1.0,64,none,none,16.21965,4130.792013,61.653612,,32.536848,2.006014,7,67,60,1,6,70,0.857143,0.857143,0.142857,8.571429,9.571429,216.324591,73.985887,1514.272136,517.901207
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,150,0.9,1.0,64,none,none,16.154973,4147.329775,61.900444,,21.843987,1.352153,10,67,57,7,3,100,0.57,0.3,0.7,5.7,6.7,225.788685,77.59182,2257.886853,775.9182
