pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,50,0.0,1.0,64,3.255243,19660.591,307.196734,,8.322213,2.556557,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,32.621835,299.272378,750.3022,6883.2647
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,50,0.9,1.0,64,3.439599,18897.5537,290.731595,,8.08688,2.351111,23,65,42,3,20,46,0.913043,0.869565,0.130435,1.826087,2.826087,37.0063,310.0482,851.1449,7131.1086
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,100,0.0,1.0,64,3.351257,19694.1032,298.395503,,8.493534,2.534432,22,66,44,0,22,44,1.0,1.0,0.0,2,3,37.031105,313.682136,814.6843,6901.007
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,2,100,0.9,1.0,64,3.288505,19765.8228,304.089582,,7.98591,2.428432,23,65,42,3,20,46,0.913043,0.869565,0.130435,1.826087,2.826087,36.604622,314.803457,841.9063,7240.4795
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,50,0.0,1.0,64,3.480394,19538.0174,287.323785,,12.365108,3.55279,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,74.800279,314.110736,1047.2039,4397.5503
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,50,0.9,1.0,64,3.365327,19017.4694,297.147959,,13.246926,3.936297,13,64,51,1,12,52,0.980769,0.923077,0.076923,3.923077,4.923077,65.949977,302.188969,857.3497,3928.4566
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,100,0.0,1.0,64,3.429093,18955.4493,291.622297,,13.087257,3.816536,13,65,52,0,13,52,1.0,1.0,0.0,4,5,69.954515,308.4554,909.4087,4009.9202
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,4,100,0.9,1.0,64,3.335018,19190.3036,299.848494,,10.227241,3.066623,17,64,47,6,11,68,0.691176,0.647059,0.352941,2.764706,3.764706,63.861953,301.256488,1085.6532,5121.3603
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,50,0.0,1.0,64,3.518152,18759.8488,284.240133,,16.385102,4.657304,10,66,56,1,9,60,0.933333,0.9,0.1,5.6,6.6,96.11782,301.87097,961.1782,3018.7097
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,50,0.9,1.0,64,3.504237,18834.3418,285.368815,,16.233998,4.632677,10,66,56,2,8,60,0.933333,0.8,0.2,5.6,6.6,96.81363,305.36682,968.1363,3053.6682
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,100,0.0,1.0,64,3.575227,18740.0684,279.702513,,15.362155,4.296833,11,67,56,2,9,66,0.848485,0.818182,0.181818,5.090909,6.090909,91.143718,300.801182,1002.5809,3308.813
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_0,6,100,0.9,1.0,64,3.433023,19225.0406,291.288494,,14.982993,4.364373,10,66,56,2,8,60,0.933333,0.8,0.2,5.6,6.6,113.73404,321.56202,1137.3404,3215.6202
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,50,0.0,1.0,64,3.329214,19824.4989,300.371195,,8.676463,2.60616,22,66,44,0,22,44,1.0,1.0,0.0,2,3,33.928077,309.42615,746.4177,6807.3753
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,50,0.9,1.0,64,3.390407,19466.6894,294.949839,,8.367536,2.468004,22,66,44,0,22,44,1.0,1.0,0.0,2,3,38.798255,317.166591,853.5616,6977.665
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,100,0.0,1.0,64,3.325834,19844.648,300.676485,,8.586619,2.581794,22,66,44,0,22,44,1.0,1.0,0.0,2,3,36.273686,310.814655,798.0211,6837.9224
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,2,100,0.9,1.0,64,3.415892,19028.7024,292.749268,,7.903307,2.313687,24,65,41,4,20,48,0.854167,0.833333,0.166667,1.708333,2.708333,33.004883,307.360642,792.1172,7376.6554
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,50,0.0,1.0,64,3.442227,19754.6512,290.509576,,12.304533,3.574585,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,74.253293,316.453257,1039.5461,4430.3456
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,50,0.9,1.0,64,3.315907,19602.4783,301.576589,,11.185924,3.373413,15,65,50,4,11,60,0.833333,0.733333,0.266667,3.333333,4.333333,70.856867,313.013327,1062.853,4695.1999
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,100,0.0,1.0,64,3.341399,19452.9324,299.275883,,12.750479,3.815911,13,65,52,0,13,52,1.0,1.0,0.0,4,5,74.063546,314.196523,962.8261,4084.5548
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,4,100,0.9,1.0,64,3.366495,19307.9165,297.044869,,12.615445,3.747353,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,64.866614,299.78975,908.1326,4197.0565
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,6,50,0.0,1.0,64,3.733768,18747.8161,267.825944,,14.197987,3.802589,12,70,58,6,6,72,0.805556,0.5,0.5,4.833333,5.833333,99.16035,307.032875,1189.9242,3684.3945
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,6,50,0.9,1.0,64,3.485494,19222.5268,286.903385,,13.233434,3.796717,12,67,55,5,7,72,0.763889,0.583333,0.416667,4.583333,5.583333,106.382342,311.047858,1276.5881,3732.5743
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,6,100,0.0,1.0,64,3.447192,18855.9272,290.091188,,13.544106,3.929026,12,65,53,4,8,72,0.736111,0.666667,0.333333,4.416667,5.416667,93.074858,302.853625,1116.8983,3634.2435
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,continuation,continuation_1,6,100,0.9,1.0,64,3.392481,18865.2517,294.769558,,13.317198,3.925505,12,64,52,5,7,72,0.722222,0.583333,0.416667,4.333333,5.333333,92.964058,303.464658,1115.5687,3641.5759
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,2,50,0.0,1.0,64,3.50531,18828.579,285.2815,,8.745042,2.494799,22,66,44,0,22,44,1.0,1.0,0.0,2,3,33.381727,307.183955,734.398,6758.047
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,2,50,0.9,1.0,64,3.428016,18961.4038,291.713905,,7.795714,2.274118,23,65,42,3,20,46,0.913043,0.869565,0.130435,1.826087,2.826087,40.663126,319.301339,935.2519,7343.9308
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,2,100,0.0,1.0,64,3.309455,19942.8588,302.164527,,8.650444,2.613857,22,66,44,0,22,44,1.0,1.0,0.0,2,3,35.290268,309.180264,776.3859,6801.9658
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,2,100,0.9,1.0,64,3.319168,19281.9409,301.280327,,8.36528,2.520294,22,64,42,1,21,44,0.954545,0.954545,0.045455,1.909091,2.909091,35.454027,309.924027,779.9886,6818.3286
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,4,50,0.0,1.0,64,3.327464,19233.8675,300.52918,,11.990948,3.60363,14,64,50,2,12,56,0.892857,0.857143,0.142857,3.571429,4.571429,66.9009,310.8771,936.6126,4352.2794
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,4,50,0.9,1.0,64,3.372588,18976.5258,296.508216,,12.269008,3.637862,14,64,50,2,12,56,0.892857,0.857143,0.142857,3.571429,4.571429,66.383557,302.933643,929.3698,4241.071
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,4,100,0.0,1.0,64,3.506721,19391.3319,285.166646,,12.132901,3.459899,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,79.094579,317.357236,1107.3241,4443.0013
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,4,100,0.9,1.0,64,3.230844,19809.0649,309.516639,,11.889209,3.679908,14,64,50,2,12,56,0.892857,0.857143,0.142857,3.571429,4.571429,66.936714,313.937493,937.114,4395.1249
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,6,50,0.0,1.0,64,3.395568,19437.0987,294.501495,,15.211502,4.47981,10,66,56,1,9,60,0.933333,0.9,0.1,5.6,6.6,112.39543,316.87337,1123.9543,3168.7337
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,6,50,0.9,1.0,64,3.429775,19534.8076,291.564293,,14.209304,4.142926,11,67,56,2,9,66,0.848485,0.818182,0.181818,5.090909,6.090909,110.053709,314.006291,1210.5908,3454.0692
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,6,100,0.0,1.0,64,3.501677,18848.1096,285.577418,,16.477684,4.705654,10,66,56,1,9,60,0.933333,0.9,0.1,5.6,6.6,92.98788,302.54912,929.8788,3025.4912
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_0,6,100,0.9,1.0,64,3.496635,19161.2782,285.989227,,14.615414,4.179851,11,67,56,2,9,66,0.848485,0.818182,0.181818,5.090909,6.090909,103.360518,308.658718,1136.9657,3395.2459
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,2,50,0.0,1.0,64,3.466081,19041.6794,288.510294,,8.629482,2.489694,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,31.469922,298.797357,723.8082,6872.3392
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,2,50,0.9,1.0,64,3.520776,18745.8662,284.028276,,8.192183,2.326812,24,66,42,4,20,48,0.875,0.833333,0.166667,1.75,2.75,32.086146,301.179813,770.0675,7228.3155
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,2,100,0.0,1.0,64,3.456499,18805.1568,289.310105,,8.704139,2.518195,22,65,43,1,21,44,0.977273,0.954545,0.045455,1.954545,2.954545,33.530668,303.563032,737.6747,6678.3867
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,2,100,0.9,1.0,64,3.428078,18961.0644,291.708683,,8.052987,2.349126,23,65,42,3,20,46,0.913043,0.869565,0.130435,1.826087,2.826087,36.6051,311.794561,841.9173,7171.2749
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,4,50,0.0,1.0,64,3.408965,19947.4031,293.344163,,12.296771,3.607186,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,72.695293,318.396914,1017.7341,4457.5568
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,4,50,0.9,1.0,64,3.301706,19383.919,302.873734,,10.513845,3.184367,16,64,48,7,9,64,0.75,0.5625,0.4375,3,4,68.252525,308.873906,1092.0404,4941.9825
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,4,100,0.0,1.0,64,3.445395,19736.4894,290.242491,,12.174373,3.53352,14,68,54,1,13,56,0.964286,0.928571,0.071429,3.857143,4.857143,77.304321,317.414879,1082.2605,4443.8083
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,4,100,0.9,1.0,64,3.303568,19372.9923,302.703005,,10.885238,3.294994,16,64,48,7,9,64,0.75,0.5625,0.4375,3,4,62.909625,301.1632,1006.554,4818.6112
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,6,50,0.0,1.0,64,3.449468,19133.3862,289.899791,,15.079471,4.371536,10,66,56,1,9,60,0.933333,0.9,0.1,5.6,6.6,113.55766,318.87092,1135.5766,3188.7092
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,6,50,0.9,1.0,64,3.538418,19782.8546,282.612209,,15.243043,4.30787,11,70,59,2,9,66,0.893939,0.818182,0.181818,5.363636,6.363636,101.464909,311.0368,1116.114,3421.4048
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,6,100,0.0,1.0,64,3.40692,19372.3377,293.520268,,15.856249,4.65413,10,66,56,1,9,60,0.933333,0.9,0.1,5.6,6.6,97.72885,313.58158,977.2885,3135.8158
llama32_1b_to_3b,llama3.2,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,code_completion,code_completion_1,6,100,0.9,1.0,64,3.570798,19603.4622,280.04946,,14.790313,4.142019,11,70,59,2,9,66,0.893939,0.818182,0.181818,5.363636,6.363636,105.134482,320.359527,1156.4793,3523.9548
